,job_title,employment,edu_level,job_family
446,"program manager, non-profit",employed for wages,associate degree,Management
447,neet parasite,out of work but not currently looking for work,"some college, no degree",None
448,t,a student,professional degree,None
449,designer,a student,"some high school, no diploma","Arts, Design, Entertainment, Sports, and Media"
450,account manager,employed for wages,bachelor’s degree,Management
451,student teacher,a student,bachelor’s degree,"Education, Training, and Library"
452,guest advisor,a student,"some college, no degree",Personal Care and Service
453,...,a student,"some college, no degree",None
454,customer service,employed for wages,"some college, no degree",Office and Administrative Support
455,teacher,employed for wages,master’s degree,"Education, Training, and Library"
456,none,a student,"some high school, no diploma",None
457,warehouse associate,a student,bachelor’s degree,None
458,terminal worker,employed for wages,"some high school, no diploma",Construction and Extraction
459,pa,employed for wages,bachelor’s degree,None
460,case worker,employed for wages,bachelor’s degree,Construction and Extraction
461,home depot order fulfillment,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
462,erdet,a student,"some high school, no diploma",None
463,boss,a student,"some high school, no diploma",None
464,consultant it,employed for wages,master’s degree,None
465,castor,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
466,receptionist,employed for wages,"some high school, no diploma",None
467,student,out of work but not currently looking for work,"high school graduate, diploma or the equivalent (for example: ged)",None
468,scientist,employed for wages,master’s degree,"Life, Physical, and Social Science"
